"HLA","population","Freq","sample_size"
"A02:01","American Samoa",0.13,51
"A02:06","American Samoa",0.13,51
"A03:01","American Samoa",0.02,51
"A11:01","American Samoa",0.16,51
"A11:04","American Samoa",0.01,51
"A24:02","American Samoa",0.33,51
"A24:04","American Samoa",0.01,51
"A24:08","American Samoa",0.02,51
"A26:01","American Samoa",0.06,51
"A31:01","American Samoa",0.01,51
"A34:01","American Samoa",0.1,51
"A66:01","American Samoa",0.01,51
"A68:03","American Samoa",0.01,51
"B07:02","American Samoa",0.01,51
"B08:03","American Samoa",0.01,51
"B13:01","American Samoa",0.01,51
"B15:02","American Samoa",0.01,51
"B15:03","American Samoa",0.01,51
"B15:06","American Samoa",0.01,51
"B15:21","American Samoa",0.03,51
"B15:31","American Samoa",0.04,51
"B38:01","American Samoa",0.01,51
"B39:01","American Samoa",0.04,51
"B40:01","American Samoa",0.29,51
"B40:02","American Samoa",0.03,51
"B40:08","American Samoa",0.01,51
"B40:10","American Samoa",0.01,51
"B40:11","American Samoa",0.01,51
"B40:12","American Samoa",0.01,51
"B40:14","American Samoa",0.01,51
"B48:01","American Samoa",0.1,51
"B48:03","American Samoa",0.06,51
"B55:02","American Samoa",0.12,51
"B55:04","American Samoa",0.03,51
"B56:01","American Samoa",0.02,51
"B56:02","American Samoa",0.1,51
"B56:04","American Samoa",0.01,51
"B67:01","American Samoa",0.01,51
"C01:02","American Samoa",0.24,51
"C01:03","American Samoa",0.02,51
"C03:03","American Samoa",0.02,51
"C03:04","American Samoa",0.18,51
"C03:04","American Samoa",0.03,51
"C03:07","American Samoa",0.03,51
"C04:01","American Samoa",0.04,51
"C04:03","American Samoa",0.06,51
"C04:07","American Samoa",0.02,51
"C07:01","American Samoa",0.01,51
"C07:02","American Samoa",0.08,51
"C08:01","American Samoa",0.15,51
"C08:02","American Samoa",0.01,51
"C12:03","American Samoa",0.02,51
"C15:03","American Samoa",0.01,51
"C15:05","American Samoa",0.01,51
"C15:07","American Samoa",0.04,51
"C15:08","American Samoa",0.01,51
"C16:04","American Samoa",0.02,51
"A02:19","Argentina Chiriguano",0.028,54
"A68:02","Argentina Chiriguano",0.047,54
"B35:19","Argentina Chiriguano",0.009,54
"A02:01","Argentina Gran Chaco Eastern Toba",0.304,135
"A02:19","Argentina Gran Chaco Eastern Toba",0.095,135
"A24:02","Argentina Gran Chaco Eastern Toba",0.048,135
"A24:03","Argentina Gran Chaco Eastern Toba",0.054,135
"A31:01","Argentina Gran Chaco Eastern Toba",0.25,135
"A68:01","Argentina Gran Chaco Eastern Toba",0.22,135
"B15:01","Argentina Gran Chaco Eastern Toba",0.004,135
"B15:04","Argentina Gran Chaco Eastern Toba",0.009,135
"B15:07","Argentina Gran Chaco Eastern Toba",0.125,135
"B15:08","Argentina Gran Chaco Eastern Toba",0.004,135
"B15:20","Argentina Gran Chaco Eastern Toba",0.013,135
"B35:01","Argentina Gran Chaco Eastern Toba",0,135
"B35:04","Argentina Gran Chaco Eastern Toba",0.009,135
"B35:05","Argentina Gran Chaco Eastern Toba",0.047,135
"B35:09","Argentina Gran Chaco Eastern Toba",0,135
"B35:18","Argentina Gran Chaco Eastern Toba",0.026,135
"B35:19","Argentina Gran Chaco Eastern Toba",0.073,135
"B39:01","Argentina Gran Chaco Eastern Toba",0.022,135
"B39:03","Argentina Gran Chaco Eastern Toba",0.06,135
"B39:05","Argentina Gran Chaco Eastern Toba",0.017,135
"B40:02","Argentina Gran Chaco Eastern Toba",0.112,135
"B40:04","Argentina Gran Chaco Eastern Toba",0.035,135
"B40:09","Argentina Gran Chaco Eastern Toba",0.004,135
"B48:01","Argentina Gran Chaco Eastern Toba",0.056,135
"B48:02","Argentina Gran Chaco Eastern Toba",0.004,135
"B48:03","Argentina Gran Chaco Eastern Toba",0.181,135
"B51:01","Argentina Gran Chaco Eastern Toba",0.035,135
"B52:01","Argentina Gran Chaco Eastern Toba",0.116,135
"A02:01","Argentina Gran Chaco Mataco Wichi",0.216,49
"A02:19","Argentina Gran Chaco Mataco Wichi",0.08,49
"A24:02","Argentina Gran Chaco Mataco Wichi",0.102,49
"A24:03","Argentina Gran Chaco Mataco Wichi",0.114,49
"A31:01","Argentina Gran Chaco Mataco Wichi",0.386,49
"A68:01","Argentina Gran Chaco Mataco Wichi",0.102,49
"B15:01","Argentina Gran Chaco Mataco Wichi",0,49
"B15:04","Argentina Gran Chaco Mataco Wichi",0,49
"B15:07","Argentina Gran Chaco Mataco Wichi",0.033,49
"B15:08","Argentina Gran Chaco Mataco Wichi",0.054,49
"B15:20","Argentina Gran Chaco Mataco Wichi",0.065,49
"B35:01","Argentina Gran Chaco Mataco Wichi",0.011,49
"B35:04","Argentina Gran Chaco Mataco Wichi",0.054,49
"B35:05","Argentina Gran Chaco Mataco Wichi",0,49
"B35:09","Argentina Gran Chaco Mataco Wichi",0.033,49
"B35:18","Argentina Gran Chaco Mataco Wichi",0,49
"B35:19","Argentina Gran Chaco Mataco Wichi",0.25,49
"B39:01","Argentina Gran Chaco Mataco Wichi",0,49
"B39:03","Argentina Gran Chaco Mataco Wichi",0.12,49
