*column definitions at bottom of table,,,,,,,,,
prot_group,Correlation.rho,LowerBound(95%CI),UpperBound(95%CI),p_value,day,death_threshold,num_countries,corrected_pvalue,norm_days
SARS-CoV-2 structural proteins,-0.0227272727272727,-0.459662939913002,0.413504474327474,0.919090998043964,1,1,23,0.919090998043964,0
SARS-CoV-2 structural proteins,-0.0810276679841897,-0.524916010318632,0.364918287040817,0.71261801474788,2,1,23,0.730890271536288,0.0256410256410256
SARS-CoV-2 structural proteins,-0.0869565217391304,-0.530755912356906,0.359658549402575,0.692451036849267,3,1,23,0.728895828262386,0.0512820512820513
SARS-CoV-2 structural proteins,-0.106719367588933,-0.548908590669838,0.33806894520637,0.626770868030865,4,1,23,0.69860603803538,0.0769230769230769
SARS-CoV-2 structural proteins,-0.100790513833992,-0.545176797694832,0.345436791907879,0.646210585182726,5,1,23,0.69860603803538,0.102564102564103
SARS-CoV-2 structural proteins,-0.119565217391304,-0.5644734183586,0.326913266945107,0.585497541110174,6,1,23,0.688820636600205,0.128205128205128
SARS-CoV-2 structural proteins,-0.103754940711462,-0.531485269938384,0.325978853503641,0.636461079671426,7,1,23,0.69860603803538,0.153846153846154
SARS-CoV-2 structural proteins,-0.122529644268775,-0.560390297082625,0.317930098259473,0.576145712803255,8,1,23,0.688820636600205,0.179487179487179
SARS-CoV-2 structural proteins,-0.16403162055336,-0.587727629729591,0.262804955361101,0.45278365350274,9,1,23,0.565979566878425,0.205128205128205
SARS-CoV-2 structural proteins,-0.204545454545455,-0.620648711764114,0.215618880351717,0.347526020288427,10,1,23,0.448420671339905,0.230769230769231
SARS-CoV-2 structural proteins,-0.273715415019763,-0.674167552779369,0.131989049871147,0.205565899121896,11,1,23,0.274087865495861,0.256410256410256
SARS-CoV-2 structural proteins,-0.291501976284585,-0.683642524539155,0.106432376125156,0.176720151882245,12,1,23,0.243751933630683,0.282051282051282
SARS-CoV-2 structural proteins,-0.319169960474308,-0.713050129031926,0.080287421428856,0.13771599593346,13,1,23,0.239506079884278,0.307692307692308
SARS-CoV-2 structural proteins,-0.359683794466403,-0.728684150840962,0.0158142861942718,0.0924777361430063,14,1,23,0.194850455827677,0.333333333333333
SARS-CoV-2 structural proteins,-0.349802371541502,-0.724437408341069,0.0312220941394084,0.10229648930953,15,1,23,0.194850455827677,0.358974358974359
SARS-CoV-2 structural proteins,-0.354743083003953,-0.732409860431314,0.0291506801975717,0.0972937331469239,16,1,23,0.194850455827677,0.384615384615385
