Country,Raised blood pressure (SBP&gt;=140 OR DBP&gt;=90) (age-standardized estimate)
Afghanistan,30.6 [23.6-38.3]
Albania,29.0 [22.4-36.2]
Algeria,25.1 [19.4-31.5]
Andorra,18.7 [13.3-24.8]
Angola,29.7 [22.1-38.3]
Antigua and Barbuda,23.4 [16.6-31.1]
Argentina,22.6 [17.0-28.9]
Armenia,25.5 [18.7-32.8]
Australia,15.2 [11.5-19.4]
Austria,21.0 [15.7-27.1]
Azerbaijan,24.5 [18.1-32.0]
Bahamas,20.9 [15.1-27.9]
Bahrain,21.4 [15.7-27.8]
Bangladesh,24.7 [19.1-30.6]
Barbados,24.4 [18.0-31.5]
Belarus,27.1 [20.3-34.2]
Belgium,17.5 [12.9-23.0]
Belize,22.7 [16.6-29.7]
Benin,27.7 [21.7-34.2]
Bhutan,28.1 [21.9-34.6]
Bolivia (Plurinational State of),17.9 [12.5-24.1]
Bosnia and Herzegovina,30.8 [24.5-37.6]
Botswana,29.6 [23.4-36.4]
Brazil,23.3 [18.1-28.8]
Brunei Darussalam,18.9 [13.5-25.2]
Bulgaria,28.4 [21.7-35.5]
Burkina Faso,32.6 [25.3-40.1]
Burundi,29.2 [22.0-37.7]
Cabo Verde,29.5 [22.6-36.8]
Cambodia,26.1 [19.6-33.0]
Cameroon,24.8 [18.8-31.8]
Canada,13.2 [9.4-17.7]
Central African Republic,31.2 [23.3-39.5]
Chad,32.9 [25.7-40.6]
Chile,20.9 [15.8-26.8]
China,19.2 [14.9-24.0]
Colombia,19.2 [14.2-24.7]
Comoros,27.9 [21.3-35.3]
Congo,26.2 [19.1-34.3]
Cook Islands,22.3 [16.2-29.2]
Costa Rica,18.7 [14.0-24.3]
Côte d'Ivoire,27.2 [20.7-34.2]
Croatia,32.4 [26.4-39.3]
Cuba,19.0 [13.8-25.3]
Cyprus,19.8 [14.1-26.7]
Czechia,27.9 [21.5-34.7]
Democratic People's Republic of Korea,18.2 [12.7-24.9]
Democratic Republic of the Congo,28.5 [21.1-36.5]
Denmark,20.6 [15.9-25.7]
Djibouti,26.8 [19.5-35.0]
Dominica,22.5 [16.5-29.3]
Dominican Republic,21.5 [15.4-28.4]
Ecuador,17.9 [12.6-23.7]
Egypt,25.0 [19.8-30.6]
El Salvador,18.7 [13.3-24.7]
Equatorial Guinea,28.4 [20.8-36.9]
Eritrea,29.1 [22.3-36.3]
Estonia,27.4 [22.3-32.9]
Eswatini,29.8 [23.3-37.0]
Ethiopia,30.3 [23.1-38.0]
Fiji,21.7 [15.6-28.7]
Finland,19.4 [15.2-24.1]
France,22.0 [16.6-27.8]
Gabon,25.5 [18.4-33.7]
Gambia,29.1 [22.5-36.4]
Georgia,26.3 [20.0-33.5]
Germany,19.9 [14.7-25.1]
Ghana,23.7 [18.7-29.3]
Greece,19.1 [13.8-25.3]
Grenada,24.3 [18.1-31.2]
Guatemala,21.2 [15.3-27.7]
Guinea,30.3 [23.7-37.4]
Guinea-Bissau,30.3 [23.2-37.7]
Guyana,23.1 [16.7-30.6]
Haiti,24.5 [17.8-31.9]
Honduras,21.4 [15.6-27.9]
Hungary,30.0 [23.3-36.9]
Iceland,19.7 [14.1-25.9]
India,25.8 [21.3-30.7]
Indonesia,23.8 [18.5-29.5]
Iran (Islamic Republic of),19.7 [15.2-24.6]
Iraq,25.2 [19.1-31.6]
Ireland,19.7 [14.7-25.3]
Israel,16.6 [11.7-22.4]
Italy,21.2 [16.2-26.3]
Jamaica,21.8 [16.0-28.4]
Japan,17.6 [14.1-21.5]
Jordan,21.0 [15.8-26.9]
Kazakhstan,27.1 [20.1-34.6]
Kenya,26.7 [20.2-34.0]
Kiribati,21.5 [15.8-28.2]
Kuwait,23.6 [17.9-30.0]
Kyrgyzstan,26.7 [20.3-33.6]
Lao People's Democratic Republic,24.8 [18.8-31.1]
Latvia,29.4 [22.6-36.9]
Lebanon,20.7 [15.4-26.8]
Lesotho,29.0 [22.6-35.6]
Liberia,28.3 [22.2-35.2]
Libya,23.7 [18.0-29.8]
Lithuania,29.3 [22.4-36.6]
Luxembourg,21.9 [16.3-27.9]
Madagascar,28.1 [21.4-35.4]
Malawi,28.9 [22.1-36.3]
Malaysia,22.9 [17.9-28.7]
Maldives,24.4 [17.9-31.5]
Mali,32.6 [25.4-40.4]
Malta,19.4 [13.8-25.5]
